열차번호,편성,행신,서울,영등포,수원,광명,천안아산,오송,대전,김천구미,서대구,동대구,경주,울산,경산,밀양,물금,구포,부산,운행요일
1,KTX,,5:13,,,5:32,,,6:14,,,6:58,7:16,7:29,,,,,7:50,매일
161,KTX,,5:18,,,5:37,,,6:19,,,7:03,,,,7:36,,8:03,8:16,월
3,KTX,,5:27,,,5:46,6:09,,6:34,6:59,,7:24,7:42,7:55,,,,,8:16,매일
5,KTX,,5:58,,,6:17,6:39,,7:04,,7:47,7:56,,8:22,,,,,8:43,매일
75,KTX-산천,,6:03,,,6:22,6:44,6:57,7:14,7:38,,8:03,,8:28,,,,,8:49,매일
7,KTX,6:11,6:33,,,6:52,,7:21,7:40,8:04,,8:29,8:48,9:00,,,,,9:22,매일
9,KTX,,6:57,,,7:16,7:39,7:52,8:09,,,8:53,,9:18,,,,,9:39,매일
11,KTX,7:01,7:27,,,7:46,,8:14,8:32,8:57,,9:22,,,,,,,10:03,매일
171,KTX,,6:48,7:01,7:26,,,,8:39,9:04,,9:29,,,,,,,10:09,금토일
13,KTX,,7:50,,,8:09,,,8:49,,,9:33,9:52,10:04,,,,,10:26,매일
15,KTX,,7:58,,,8:17,8:39,,9:04,9:29,,9:54,10:12,10:25,,,,,10:46,매일
191,KTX-산천,,8:35,,,8:54,,,9:36,,,10:24,,,,,,,11:04,매일
9017,KTX-청룡,8:30,8:58,,,,,,9:52,,,10:36,,,,,,,11:16,토일
17,KTX-청룡,8:30,8:58,,,,,,9:52,,,10:36,,,,,,,11:16,매일
121,KTX,,8:12,8:23,8:46,,,,9:57,,,10:41,10:59,11:12,,,,,11:33,매일
19,KTX-산천,,9:28,,,9:47,,10:16,10:35,10:59,,11:24,11:43,11:56,,,,,12:17,매일
101,KTX,,9:33,,,9:52,10:14,10:27,10:44,,11:27,11:37,,,,12:09,12:29,12:40,12:53,매일
21,KTX,,9:58,,,10:17,10:39,,11:04,11:29,,11:54,12:12,12:25,,,,,12:46,매일
163,KTX,,10:18,,,,10:54,11:07,11:24,,12:07,12:16,,,,12:48,13:08,13:19,13:32,금토일
23,KTX,,10:28,,,10:47,11:09,11:22,11:39,12:03,,12:28,,12:53,,,,,13:14,매일
123,KTX,,10:12,10:23,10:47,,,,11:59,,,12:43,13:01,13:14,,,,,13:35,매일
25,KTX,,10:58,,,11:17,11:39,,12:05,,,12:49,13:08,13:20,,,,,13:42,매일
