열차번호,편성,부산,구포,물금,밀양,경산,울산,경주,대구,서대구,김천구미,대전,오송,천안아산,광명,수원,영등포,서울역,행신,운행요일
116,KTX,,,,,,,,,,,5:55,6:12,6:25,6:51,,,7:09,,매일
82,KTX,4:45,,,,,5:08,5:20,5:38,,,6:21,,6:45,7:11,,,7:29,,월
118,KTX,,,,,,,,,,,6:35,6:52,7:05,7:31,,,7:49,,화수목금토일
166,KTX,4:38,4:52,,5:17,,,,5:52,,,6:35,6:52,7:05,7:31,,,7:49,,월
2,KTX,5:09,,,,,5:32,,5:57,,6:20,6:45,,7:09,7:35,,,7:53,,매일
4,KTX,5:19,,,,,,5:47,6:06,,,6:49,7:07,,7:39,,,7:57,,매일
6,KTX,5:39,,,,,6:02,,6:27,,,7:10,7:27,7:40,8:07,,,8:25,,매일
120,KTX,,,,,,,,6:31,6:40,7:03,7:28,7:46,7:59,8:25,,,8:43,,매일
192,KTX-산천,6:01,,,,,6:24,6:37,6:55,,7:18,7:44,,8:10,8:35,,,8:53,,매일
9192,KTX-산천,6:01,,,,,6:24,6:37,6:55,,7:18,7:44,,8:10,8:35,,,8:53,,화수목금
8,KTX,6:09,,,,,6:32,6:44,7:02,,7:25,7:51,8:08,8:21,8:47,,,9:05,,매일
84,KTX,6:21,,,,,6:44,6:56,7:14,7:24,,8:06,8:23,8:36,,,,9:16,,금토일
170,KTX,6:36,,,,,6:59,7:11,7:29,,,8:14,,,,9:25,9:47,9:58,,토일
102,KTX,6:11,6:25,6:35,6:55,7:22,,,7:33,,7:56,8:21,8:39,8:52,9:17,,,9:35,,매일
10,KTX,6:58,,,,,7:21,,7:46,,8:09,8:35,8:52,,9:25,,,9:43,,매일
12,KTX,7:22,,,,,7:45,7:57,8:15,8:25,,9:07,,9:33,9:58,,,10:16,,매일
86,KTX,7:48,,,,,8:11,,8:36,,8:59,9:24,9:42,9:55,10:20,,,10:38,,금토일
14,KTX,8:05,,,,,8:28,8:40,8:58,,9:21,9:47,,10:11,,,,10:49,,매일
122,KTX,8:20,,,,,8:43,,9:08,,,9:51,,,,11:01,11:23,11:34,,매일
104,KTX,8:01,8:15,8:25,8:45,,,,9:19,9:29,,10:11,10:29,,11:01,,,11:19,,매일
16,KTX,8:39,,,,,9:02,9:14,9:32,,,10:16,10:33,,11:06,,,11:28,11:45,매일
18,KTX,8:50,,,,,9:13,,9:38,,10:01,10:26,,,11:10,,,11:28,,매일
20,KTX,9:05,,,,,9:28,,9:53,,,10:36,10:53,11:06,11:31,,,11:49,,매일
22,KTX,9:26,,,,,,,10:07,10:16,,10:58,,,,,,11:53,,매일
188,KTX-산천,9:37,,,,,10:00,,10:25,,10:48,11:13,,,11:57,,,12:15,,월화수목
88,KTX,9:37,,,,,10:00,,10:25,,10:48,11:13,,,11:57,,,12:15,,금토일
24,KTX,9:49,,,,,10:12,10:24,10:43,,,11:26,,11:50,12:15,,,12:33,,매일
172,KTX,10:17,,,,,10:40,,11:05,,11:28,11:53,,,,13:03,13:28,13:39,,금토일
26,KTX,10:28,,,,,,,11:09,11:18,,12:00,,,12:46,,,13:04,,매일
162,KTX-산천,9:59,10:13,10:23,10:43,,,,11:21,,11:44,12:09,,,12:53,,,13:11,,금토일
28,KTX,11:00,,,,,11:23,,11:48,,12:11,12:37,12:54,,13:29,,,13:47,,매일
30,KTX,12:00,,,,,12:23,,12:48,,13:11,13:37,13:55,14:08,14:33,,,14:51,,매일
9032,KTX-청룡,12:34,,,,,,,13:15,,,13:57,,14:21,,,,14:59,,토일
32,KTX-청룡,12:34,,,,,,,13:15,,,13:57,,14:21,,,,14:59,,매일
34,KTX,13:03,,,,,13:26,13:38,13:57,,,14:40,14:57,15:10,,,,15:48,,매일
124,KTX,13:17,,,,,13:40,,14:05,,,14:48,,,,16:01,16:23,16:34,,매일
90,KTX,13:28,,,,,,,14:10,,,14:53,15:10,15:23,15:49,,,16:07,,금토
106,KTX-산천,13:22,13:36,13:46,14:07,,,,14:44,,,15:27,15:45,15:58,16:23,,,16:41,,매일
36,KTX,14:00,,,,,14:23,,14:48,,15:11,15:36,15:54,16:07,,,,16:50,17:07,매일
38,KTX,14:20,,,,,,14:48,15:07,,,15:50,16:07,,,,,16:53,,매일
40,KTX,14:31,,,,,14:54,15:06,15:24,,15:47,16:13,,,16:56,,,17:19,17:37,매일
42,KTX,14:54,,,,,,,15:35,15:45,16:07,16:32,,,,,,17:28,,매일
92,KTX,15:00,,,,,15:23,15:35,15:53,,,16:36,16:54,,17:26,,,17:44,,금토일
174,KTX,15:20,,,,,,,16:01,,,16:45,,,,17:56,18:18,18:29,,금토일
44,KTX,15:43,,,,,16:06,,16:31,,,17:14,,17:38,18:04,,,18:22,,매일
108,KTX,15:25,15:39,,16:05,,,,16:39,16:49,,17:31,17:49,18:02,18:27,,,18:45,,매일
46,KTX,16:15,,,,,16:38,16:50,17:09,,17:32,17:57,18:15,,18:47,,,19:05,,매일
94,KTX,16:28,,,,,16:51,,17:16,,17:39,18:04,18:22,,18:56,,,19:14,,매일
190,KTX-산천,16:36,,,,,16:59,,17:30,,,18:13,,,19:00,,,19:18,,매일
48,KTX,16:55,,,,,,17:24,17:42,,,18:25,,18:49,19:15,,,19:34,,매일
